0 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
11 -> 2790.60897737652 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Dompierre-, Chenove, Longvic, Clamerey, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Baigneux-l, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Fleurey-su, Genlis, Alise-Sain, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Bligny-sur, Meursault, Marcigny-s, Laignes, Vougeot, T, Montigny-S
12 -> 2731.66711481672 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Chenove, Longvic, Clamerey, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Baigneux-l, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Dompierre-, Alise-Sain, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Bligny-sur, Fleurey-su, Meursault, Marcigny-s, Laignes, Vougeot, T, Montigny-S
13 -> 2731.66711481672 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Chenove, Longvic, Clamerey, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Baigneux-l, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Dompierre-, Alise-Sain, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Bligny-sur, Fleurey-su, Meursault, Marcigny-s, Laignes, Vougeot, T, Montigny-S
14 -> 2674.99422568438 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Marcigny-s, Laignes, Vougeot, T, Montigny-S
15 -> 2674.99422568438 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Marcigny-s, Laignes, Vougeot, T, Montigny-S
16 -> 2674.99422568438 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Marcigny-s, Laignes, Vougeot, T, Montigny-S
17 -> 2588.40498206239 : Marcigny-s, Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Arc-sur-Ti, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Saulieu, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T, Montigny-S
18 -> 2588.40498206239 : Marcigny-s, Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Arc-sur-Ti, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Saulieu, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T, Montigny-S
19 -> 2580.34742153215 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Noidan, Précy-sous, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Marcigny-s, Laignes, Vougeot, T, Montigny-S
20 -> 2571.61913979441 : Marcigny-s, Arnay-le-D, Braux, Aisy-sous-, Losne, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Bligny-sur, Dompierre-, Chenove, Arc-sur-Ti, Longvic, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Saulieu, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Vitteaux, Normier, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T, Montigny-S
