0 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
140 -> 1946.68760309802 : Marcigny-s, Dompierre-, Braux, Bligny-sur, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Quetigny, Longvic, Dijon, Chenove, Savigny-le, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Blaisy-Bas, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
141 -> 1946.68760309802 : Marcigny-s, Dompierre-, Braux, Bligny-sur, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Quetigny, Longvic, Dijon, Chenove, Savigny-le, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Blaisy-Bas, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
142 -> 1946.68760309802 : Marcigny-s, Dompierre-, Braux, Bligny-sur, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Quetigny, Longvic, Dijon, Chenove, Savigny-le, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Blaisy-Bas, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
143 -> 1946.68760309802 : Marcigny-s, Dompierre-, Braux, Bligny-sur, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Quetigny, Longvic, Dijon, Chenove, Savigny-le, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Blaisy-Bas, Genlis, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
144 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
145 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
146 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
147 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
148 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
149 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
150 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
151 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
152 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
153 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
154 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
155 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
156 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
157 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
158 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
159 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
160 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
161 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
162 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
163 -> 1889.10686572407 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
164 -> 1875.06411849515 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Ahuy, Curtil-Sai, Marsannay-, Beaune, Fontangy, Semur-en-A, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Bligny-sur, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Blaisy-Bas, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Aisy-sous-, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Fleurey-su, Pouilly-en, Bierre-les, Brianny, Noidan, Arnay-le-D, Meursault, Clamerey, Laignes, Vougeot, T
165 -> 1875.06411849515 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Ahuy, Curtil-Sai, Marsannay-, Beaune, Fontangy, Semur-en-A, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Bligny-sur, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Blaisy-Bas, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Aisy-sous-, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Fleurey-su, Pouilly-en, Bierre-les, Brianny, Noidan, Arnay-le-D, Meursault, Clamerey, Laignes, Vougeot, T
166 -> 1875.06411849515 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Ahuy, Curtil-Sai, Marsannay-, Beaune, Fontangy, Semur-en-A, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Bligny-sur, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Blaisy-Bas, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Aisy-sous-, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Fleurey-su, Pouilly-en, Bierre-les, Brianny, Noidan, Arnay-le-D, Meursault, Clamerey, Laignes, Vougeot, T
167 -> 1875.06411849515 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Ahuy, Curtil-Sai, Marsannay-, Beaune, Fontangy, Semur-en-A, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Bligny-sur, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Blaisy-Bas, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Aisy-sous-, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Fleurey-su, Pouilly-en, Bierre-les, Brianny, Noidan, Arnay-le-D, Meursault, Clamerey, Laignes, Vougeot, T
168 -> 1875.06411849515 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Ahuy, Curtil-Sai, Marsannay-, Beaune, Fontangy, Semur-en-A, Vic-sous-T, Montbard, Saint-Apol, Brazey-en-, Seurre, Mirebeau-s, Pontailler, Arc-sur-Ti, Auxonne, Bligny-sur, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Blaisy-Bas, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Aisy-sous-, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Losne, Vitteaux, Normier, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Fleurey-su, Pouilly-en, Bierre-les, Brianny, Noidan, Arnay-le-D, Meursault, Clamerey, Laignes, Vougeot, T
169 -> 1868.9835187329 : Marcigny-s, Dompierre-, Braux, Nuits-Sain, Epagny, Selongey, Marsannay-, Curtil-Sai, Marsannay-, Beaune, Fontangy, Vic-sous-T, Montbard, Bligny-sur, Saint-Apol, Brazey-en-, Mirebeau-s, Pontailler, Arc-sur-Ti, Savigny-le, Quetigny, Longvic, Dijon, Chenove, Salives, Saussy, Prenois, Précy-sous, Montigny-S, Saulieu, Vix, Aisey-sur-, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Genlis, Saulon-la-, Aloxe-Cort, Santenay, Pommard, Auxonne, Losne, Seurre, Vitteaux, Normier, Blaisy-Bas, Alise-Sain, Baigneux-l, Chamboeuf, Arcenant, Pouilly-en, Bierre-les, Brianny, Aisy-sous-, Noidan, Semur-en-A, Arnay-le-D, Fleurey-su, Meursault, Clamerey, Laignes, Vougeot, T
