11 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
12 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
13 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
14 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
15 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
16 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
17 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
18 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
19 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
20 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
